date,continent,grand_prix,circuit,winner_name,team,time,laps,year
1950-05-13,Europe,Great Britain,Silverstone Circuit,Nino Farina,Alfa Romeo,02:13:23,70.0,1950
1950-05-21,Europe,Monaco,Circuit de Monaco,Juan Manuel Fangio,Alfa Romeo,03:13:18,100.0,1950
1950-05-30,North America,United States,Indianapolis Motor Speedway,Johnnie Parsons,Kurtis Kraft Offenhauser,02:46:55,138.0,1950
1950-06-04,Europe,Switzerland,Circuit Bremgarten,Nino Farina,Alfa Romeo,02:02:53,42.0,1950
1950-06-18,Europe,Belgium,Circuit de Spa Francorchamps,Juan Manuel Fangio,Alfa Romeo,02:47:26,35.0,1950
1950-07-02,Europe,France,Circuit de Reims Gueux,Juan Manuel Fangio,Alfa Romeo,02:57:52,64.0,1950
1950-09-03,Europe,Italy,Autodromo Nazionale di Monza,Nino Farina,Alfa Romeo,02:51:17,80.0,1950
1951-05-27,Europe,Switzerland,Circuit Bremgarten,Juan Manuel Fangio,Alfa Romeo,02:07:53,42.0,1951
1951-05-30,North America,United States,Indianapolis Motor Speedway,Lee Wallard,Kurtis Kraft Offenhauser,03:57:38,200.0,1951
1951-06-17,Europe,Belgium,Circuit de Spa Francorchamps,Nino Farina,Alfa Romeo,02:45:46,36.0,1951
1951-07-01,Europe,France,Circuit de Reims Gueux,Juan Manuel Fangio,Alfa Romeo,03:22:11,77.0,1951
1951-07-01,Europe,France,Circuit de Reims Gueux,Luigi Fagioli,Alfa Romeo,03:22:11,77.0,1951
1951-07-14,Europe,Great Britain,Silverstone Circuit,Jose Froilan Gonzalez,Ferrari,02:42:18,90.0,1951
1951-07-29,Europe,Germany,Nürburgring,Alberto Ascari,Ferrari,03:23:03,20.0,1951
1951-09-16,Europe,Italy,Autodromo Nazionale di Monza,Alberto Ascari,Ferrari,02:42:39,80.0,1951
1951-10-28,Europe,Spain,Circuit de Pedralbes,Juan Manuel Fangio,Alfa Romeo,02:46:54,70.0,1951
1952-05-18,Europe,Switzerland,Circuit Bremgarten,Piero Taruffi,Ferrari,03:01:46,62.0,1952
1952-05-30,North America,United States,Indianapolis Motor Speedway,Troy Ruttman,Kuzma Offenhauser,03:52:41,200.0,1952
1952-06-22,Europe,Belgium,Circuit de Spa Francorchamps,Alberto Ascari,Ferrari,03:03:46,36.0,1952
1952-07-06,Europe,France,Rouen Les Essarts,Alberto Ascari,Ferrari,03:00:00,77.0,1952
1952-07-19,Europe,Great Britain,Silverstone Circuit,Alberto Ascari,Ferrari,02:44:11,85.0,1952
1952-08-03,Europe,Germany,Nürburgring,Alberto Ascari,Ferrari,03:06:13,18.0,1952
1952-08-17,Europe,Netherlands,Circuit Zandvoort,Alberto Ascari,Ferrari,02:53:28,90.0,1952
1952-09-07,Europe,Italy,Autodromo Nazionale di Monza,Alberto Ascari,Ferrari,02:50:45,80.0,1952
1953-01-18,South America,Argentina,Autódromo Oscar y Juan Gálvez,Alberto Ascari,Ferrari,03:01:04,97.0,1953
1953-05-30,North America,United States,Indianapolis Motor Speedway,Bill Vukovich,Kurtis Kraft Offenhauser,03:53:01,200.0,1953
1953-06-07,Europe,Netherlands,Circuit Zandvoort,Alberto Ascari,Ferrari,02:53:35,90.0,1953
1953-06-21,Europe,Belgium,Circuit de Spa Francorchamps,Alberto Ascari,Ferrari,02:48:30,36.0,1953
1953-07-05,Europe,France,Circuit de Reims Gueux,Mike Hawthorn,Ferrari,02:44:18,60.0,1953
1953-07-18,Europe,Great Britain,Silverstone Circuit,Alberto Ascari,Ferrari,02:50:00,90.0,1953
1953-08-02,Europe,Germany,Nürburgring,Nino Farina,Ferrari,03:02:25,18.0,1953
1953-08-23,Europe,Switzerland,Circuit Bremgarten,Alberto Ascari,Ferrari,03:01:34,65.0,1953
1953-09-13,Europe,Italy,Autodromo Nazionale di Monza,Juan Manuel Fangio,Maserati,02:49:45,80.0,1953
1954-01-17,South America,Argentina,Autódromo Oscar y Juan Gálvez,Juan Manuel Fangio,Maserati,03:00:55,87.0,1954
1954-05-31,North America,United States,Indianapolis Motor Speedway,Bill Vukovich,Kurtis Kraft Offenhauser,03:49:17,200.0,1954
1954-06-20,Europe,Belgium,Circuit de Spa Francorchamps,Juan Manuel Fangio,Maserati,02:44:42,36.0,1954
1954-07-04,Europe,France,Circuit de Reims Gueux,Juan Manuel Fangio,Mercedes-Benz,02:42:47,61.0,1954
1954-07-17,Europe,Great Britain,Silverstone Circuit,Jose Froilan Gonzalez,Ferrari,02:56:14,90.0,1954
1954-08-01,Europe,Germany,Nürburgring,Juan Manuel Fangio,Mercedes-Benz,03:45:45,22.0,1954
1954-08-22,Europe,Switzerland,Circuit Bremgarten,Juan Manuel Fangio,Mercedes-Benz,03:00:34,66.0,1954
1954-09-05,Europe,Italy,Autodromo Nazionale di Monza,Juan Manuel Fangio,Mercedes-Benz,02:47:47,80.0,1954
1954-10-24,Europe,Spain,Circuit de Pedralbes,Mike Hawthorn,Ferrari,03:13:52,80.0,1954
1955-01-16,South America,Argentina,Autódromo Oscar y Juan Gálvez,Juan Manuel Fangio,Mercedes-Benz,03:00:38,96.0,1955
1955-05-22,Europe,Monaco,Circuit de Monaco,Maurice Trintignant,Ferrari,02:58:09,100.0,1955
1955-05-30,North America,United States,Indianapolis Motor Speedway,Bob Sweikert,Kurtis Kraft Offenhauser,03:53:59,200.0,1955
1955-06-05,Europe,Belgium,Circuit de Spa Francorchamps,Juan Manuel Fangio,Mercedes-Benz,02:39:29,36.0,1955
1955-06-19,Europe,Netherlands,Circuit Zandvoort,Juan Manuel Fangio,Mercedes-Benz,02:54:23,100.0,1955
1955-07-16,Europe,Great Britain,Aintree Circuit,Stirling Moss,Mercedes-Benz,03:07:21,90.0,1955
1955-09-11,Europe,Italy,Autodromo Nazionale di Monza,Juan Manuel Fangio,Mercedes-Benz,02:25:04,50.0,1955
1956-01-22,South America,Argentina,Autódromo Oscar y Juan Gálvez,Luigi Musso,Ferrari,03:00:03,98.0,1956
1956-01-22,South America,Argentina,Autódromo Oscar y Juan Gálvez,Juan Manuel Fangio,Ferrari,03:00:03,98.0,1956
1956-05-13,Europe,Monaco,Circuit de Monaco,Stirling Moss,Maserati,03:00:32,100.0,1956
1956-05-30,North America,United States,Indianapolis Motor Speedway,Pat Flaherty,Watson Offenhauser,03:53:28,200.0,1956
1956-06-03,Europe,Belgium,Circuit de Spa Francorchamps,Peter Collins,Ferrari,02:40:00,36.0,1956
1956-07-01,Europe,France,Circuit de Reims Gueux,Peter Collins,Ferrari,02:34:23,61.0,1956
1956-07-14,Europe,Great Britain,Silverstone Circuit,Juan Manuel Fangio,Ferrari,02:59:47,101.0,1956
1956-08-05,Europe,Germany,Nürburgring,Juan Manuel Fangio,Ferrari,03:38:43,22.0,1956
1956-09-02,Europe,Italy,Autodromo Nazionale di Monza,Stirling Moss,Maserati,02:23:41,50.0,1956
1957-01-13,South America,Argentina,Autódromo Oscar y Juan Gálvez,Juan Manuel Fangio,Maserati,03:00:55,100.0,1957
1957-05-19,Europe,Monaco,Circuit de Monaco,Juan Manuel Fangio,Maserati,03:10:12,105.0,1957
1957-05-30,North America,United States,Indianapolis Motor Speedway,Sam Hanks,Epperly Offenhauser,03:41:14,200.0,1957
1957-07-07,Europe,France,Rouen Les Essarts,Juan Manuel Fangio,Maserati,03:07:46,77.0,1957
1957-07-20,Europe,Great Britain,Aintree Circuit,Tony Brooks,Vanwall,03:06:37,90.0,1957
1957-07-20,Europe,Great Britain,Aintree Circuit,Stirling Moss,Vanwall,03:06:37,90.0,1957
1957-08-04,Europe,Germany,Nürburgring,Juan Manuel Fangio,Maserati,03:30:38,22.0,1957
1957-08-18,Europe,Italy,Pescara Circuit,Stirling Moss,Vanwall,02:59:22,18.0,1957
1957-09-08,Europe,Italy,Autodromo Nazionale di Monza,Stirling Moss,Vanwall,02:35:03,87.0,1957
